#-----------------------------------------------------------------------------
# Date d'extraction : 27/12/2025 - 19h00 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP4.5 : Emissions modérées
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORPN20MM : Nombre de jours de fortes précipitations (jour(s))
#     ATAV : Ecart de température moyenne journalière (°C)
#     AFF98 : Ecart de nombre de jours de vent fort (jour(s))
#     ARRR : Ecart relatif de cumul de précipitation
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;NORPN20MM;ATAV;AFF98;ARRR;
#-----------------------------------------------------------------------------
Point;Latitude;Longitude;Contexte;Période;NORPN20MM;ATAV;AFF98;ARRR;
2203;42.6326;1.4123;RCP4.5;H1;23;1.06;-0.33;0;
2204;42.6334;1.5096;RCP4.5;H1;15;1.06;-0.6;0.06;
2205;42.6341;1.6069;RCP4.5;H1;24;1.09;-1.23;0.05;
2206;42.6347;1.7042;RCP4.5;H1;23;1.1;-1.17;0.04;
2207;42.6353;1.8014;RCP4.5;H1;20;1.08;-0.23;0.03;
2208;42.6357;1.8987;RCP4.5;H1;23;1.05;-0.57;0.04;
2209;42.6361;1.996;RCP4.5;H1;24;1.09;-0.6;0.04;
2210;42.6363;2.0933;RCP4.5;H1;9;1.1;0.03;0.07;
2211;42.6365;2.1906;RCP4.5;H1;18;1.09;-0.36;0.04;
2212;42.6366;2.2879;RCP4.5;H1;11;1.06;1.03;0.12;
2213;42.6366;2.3852;RCP4.5;H1;8;1.05;0.7;0.11;
2214;42.6365;2.4825;RCP4.5;H1;11;1;0;0.12;
2215;42.6363;2.5798;RCP4.5;H1;11;1;0.43;0.12;
2216;42.6361;2.6771;RCP4.5;H1;11;0.99;0.87;0.13;
2217;42.6357;2.7744;RCP4.5;H1;10;0.96;0.57;0.16;
2218;42.6353;2.8717;RCP4.5;H1;10;0.96;0.4;0.17;
2219;42.6347;2.969;RCP4.5;H1;10;0.97;0.36;0.17;
2220;42.6341;3.0663;RCP4.5;H1;10;0;0;0.18;
2278;42.4462;8.6957;RCP4.5;H1;8;0.96;-0.6;0.05;
2279;42.4404;8.7924;RCP4.5;H1;10;1.06;-0.53;0.04;
2280;42.4344;8.889;RCP4.5;H1;16;1.09;-1.27;0.03;
2281;42.4284;8.9856;RCP4.5;H1;18;1.25;-0.96;0.05;
2282;42.4223;9.0822;RCP4.5;H1;15;1.13;0.1;0.02;
2283;42.4161;9.1788;RCP4.5;H1;9;1.13;-0.4;0.01;
2284;42.4098;9.2753;RCP4.5;H1;14;1.15;-0.07;0.04;
2285;42.4034;9.3719;RCP4.5;H1;13;1.18;-1.26;0.05;
2286;42.397;9.4684;RCP4.5;H1;14;1.09;-0.76;0.07;
2331;42.6817;-0.0495;RCP4.5;H1;21;0;0;-0.01;
2332;42.6839;0.0479;RCP4.5;H1;23;0;0;-0.01;
2333;42.6859;0.1452;RCP4.5;H1;21;0;0;0.01;
2334;42.6879;0.2426;RCP4.5;H1;20;0;0;-0.01;
2335;42.6897;0.3399;RCP4.5;H1;21;0;0;-0;
2336;42.6915;0.4373;RCP4.5;H1;26;1.1;-1.43;0.03;
2337;42.6932;0.5346;RCP4.5;H1;25;1.05;-1.06;0;
2338;42.6948;0.632;RCP4.5;H1;21;1.04;-1.13;-0.01;
2343;42.7015;1.1189;RCP4.5;H1;25;0;0;-0.01;
2344;42.7026;1.2163;RCP4.5;H1;28;0;0;0.02;
2345;42.7036;1.3137;RCP4.5;H1;29;0;0;0.02;
2346;42.7044;1.4111;RCP4.5;H1;21;1.33;-1.4;0.03;
2347;42.7052;1.5086;RCP4.5;H1;20;1.1;-1.6;0.03;
2348;42.706;1.606;RCP4.5;H1;20;1.14;-1.26;0.04;
2349;42.7066;1.7034;RCP4.5;H1;18;1.13;-0.83;0.04;
2350;42.7071;1.8008;RCP4.5;H1;16;1.09;-0.46;0.07;
2351;42.7076;1.8982;RCP4.5;H1;16;1.11;0.2;0.07;
2352;42.7079;1.9956;RCP4.5;H1;21;1.12;0.23;0.05;
2353;42.7082;2.093;RCP4.5;H1;7;1.05;0.4;0.06;
2354;42.7084;2.1905;RCP4.5;H1;14;1.08;-0.23;0.06;
2355;42.7085;2.2879;RCP4.5;H1;14;1.09;0.04;0.09;
2356;42.7085;2.3853;RCP4.5;H1;11;1.07;0.27;0.13;
2357;42.7084;2.4827;RCP4.5;H1;10;1.04;0;0.14;
2358;42.7082;2.5801;RCP4.5;H1;9;1.04;0.6;0.13;
2359;42.7079;2.6775;RCP4.5;H1;8;1.01;0.57;0.13;
2360;42.7076;2.775;RCP4.5;H1;10;0.97;0.6;0.17;
2361;42.7071;2.8724;RCP4.5;H1;10;0.99;0.6;0.18;
2362;42.7066;2.9698;RCP4.5;H1;10;0.99;0.67;0.18;
2363;42.706;3.0672;RCP4.5;H1;10;0;0;0.18;
2421;42.5178;8.7036;RCP4.5;H1;7;1;-0.83;0.01;
2422;42.512;8.8003;RCP4.5;H1;7;0.99;-0.83;0.01;
2423;42.506;8.8971;RCP4.5;H1;12;1.08;-0.6;0.01;
2424;42.5;8.9938;RCP4.5;H1;15;1.13;-0.7;-0;
2425;42.4939;9.0905;RCP4.5;H1;11;1.12;0.07;0.04;
2426;42.4877;9.1872;RCP4.5;H1;8;1.09;-0.16;0.03;
2427;42.4814;9.2839;RCP4.5;H1;10;1.17;-0.37;0.06;
2428;42.475;9.3805;RCP4.5;H1;14;1.14;-0.7;0.07;
2429;42.4685;9.4772;RCP4.5;H1;12;0.97;-0.76;0.07;
2430;42.4619;9.5738;RCP4.5;H1;11;0;0;0.07;
2473;42.7513;-0.1499;RCP4.5;H1;22;0;0;-0.01;
2474;42.7535;-0.0524;RCP4.5;H1;21;1.09;-0.93;-0.01;
2475;42.7557;0.045;RCP4.5;H1;19;1.1;-0.84;-0.01;
2476;42.7577;0.1425;RCP4.5;H1;22;1.11;-1.27;0.01;
2477;42.7597;0.24;RCP4.5;H1;19;1.13;-0.73;-0.01;
2478;42.7616;0.3374;RCP4.5;H1;18;1.13;-0.97;-0.01;
2479;42.7634;0.4349;RCP4.5;H1;15;1.14;-1.3;0;
2480;42.765;0.5324;RCP4.5;H1;16;1.07;-1;-0.01;
2481;42.7667;0.6299;RCP4.5;H1;14;1.08;-1;-0;
2484;42.7709;0.9224;RCP4.5;H1;31;1.1;-1.53;0.03;
2485;42.7722;1.0199;RCP4.5;H1;28;0;0;0.02;
2486;42.7733;1.1174;RCP4.5;H1;25;1.14;-1.43;0.02;
2487;42.7744;1.2149;RCP4.5;H1;21;1.1;-1.2;0.03;
2488;42.7754;1.3125;RCP4.5;H1;22;1.11;-1.44;0.05;
2489;42.7763;1.41;RCP4.5;H1;23;1.11;-1.4;0.04;
2490;42.7771;1.5075;RCP4.5;H1;16;1.09;-0.76;0.06;
2491;42.7778;1.6051;RCP4.5;H1;15;1.11;-0.66;0.07;
2492;42.7784;1.7026;RCP4.5;H1;13;1.11;-0.77;0.07;
2493;42.779;1.8001;RCP4.5;H1;16;1.09;-0.54;0.08;
2494;42.7794;1.8977;RCP4.5;H1;17;1.11;0;0.06;
2495;42.7798;1.9952;RCP4.5;H1;14;1.13;-0.4;0.07;
2496;42.78;2.0927;RCP4.5;H1;12;1.03;0.57;0.07;
2497;42.7802;2.1903;RCP4.5;H1;11;1.04;0.8;0.07;
2498;42.7803;2.2878;RCP4.5;H1;11;1.04;0.7;0.09;
2499;42.7803;2.3854;RCP4.5;H1;10;1.02;0.84;0.12;
2500;42.7802;2.4829;RCP4.5;H1;8;1.01;0.84;0.13;
2501;42.78;2.5804;RCP4.5;H1;8;1.01;1;0.12;
2502;42.7798;2.678;RCP4.5;H1;8;1;0.47;0.13;
2503;42.7794;2.7755;RCP4.5;H1;11;0.97;1.03;0.16;
2504;42.779;2.873;RCP4.5;H1;10;1.01;0.83;0.21;
2505;42.7784;2.9706;RCP4.5;H1;10;1.01;0.8;0.21;
2506;42.7778;3.0681;RCP4.5;H1;10;0;0;0.16;
2564;42.5894;8.7114;RCP4.5;H1;6;0;0;0.01;
2565;42.5835;8.8083;RCP4.5;H1;6;0.97;-0.76;0.01;
2566;42.5776;8.9052;RCP4.5;H1;8;1;-0.64;-0.02;
2567;42.5716;9.002;RCP4.5;H1;10;1.04;-0.6;-0.02;
2568;42.5654;9.0989;RCP4.5;H1;10;1;0.5;0.04;
2569;42.5592;9.1957;RCP4.5;H1;12;1.03;0.24;0.04;
2570;42.5529;9.2925;RCP4.5;H1;12;1.1;-0.4;0.04;
2571;42.5465;9.3892;RCP4.5;H1;14;1.15;-0.23;0.06;
2572;42.54;9.486;RCP4.5;H1;11;0.96;-0.67;0.06;
2611;42.8106;-0.6407;RCP4.5;H1;35;0;0;-0.02;
2612;42.8133;-0.5431;RCP4.5;H1;26;1.13;-1.63;-0.01;
2613;42.8159;-0.4456;RCP4.5;H1;28;1.12;-1.63;-0.01;
2614;42.8184;-0.3481;RCP4.5;H1;29;1.09;-0.9;-0;
2615;42.8208;-0.2505;RCP4.5;H1;27;1.18;-1.43;0.02;
2616;42.8231;-0.1529;RCP4.5;H1;21;1.2;-1.27;-0.01;
2617;42.8254;-0.0554;RCP4.5;H1;22;1.09;-0.93;-0.01;
2618;42.8275;0.0422;RCP4.5;H1;17;1.14;-1;-0;
2619;42.8296;0.1398;RCP4.5;H1;22;1.13;-1.53;0.01;
2620;42.8315;0.2374;RCP4.5;H1;18;1.12;-1.54;0;
2621;42.8334;0.335;RCP4.5;H1;12;1.15;-1.4;0.02;
2622;42.8352;0.4326;RCP4.5;H1;13;1.18;-0.33;-0.02;
2623;42.8369;0.5302;RCP4.5;H1;16;1.06;0.26;0.01;
2624;42.8385;0.6278;RCP4.5;H1;14;1.06;0.27;0.01;
2625;42.84;0.7254;RCP4.5;H1;14;0;0;0.04;
2626;42.8414;0.823;RCP4.5;H1;18;1.12;-1.47;0.01;
2627;42.8428;0.9206;RCP4.5;H1;23;1.09;-1.36;0.03;
2628;42.844;1.0183;RCP4.5;H1;21;1.04;1.2;0.02;
2629;42.8452;1.1159;RCP4.5;H1;22;1.1;-1.17;0.04;
2630;42.8463;1.2136;RCP4.5;H1;16;1.09;-1.17;0.05;
2631;42.8472;1.3112;RCP4.5;H1;20;1.1;-1.6;0.05;
2632;42.8481;1.4088;RCP4.5;H1;22;1.1;-1.37;0.05;
2633;42.8489;1.5065;RCP4.5;H1;16;1.1;-0.76;0.06;
2634;42.8497;1.6041;RCP4.5;H1;11;1;0.43;0.07;
2635;42.8503;1.7018;RCP4.5;H1;16;1.04;0.74;0.05;
2636;42.8508;1.7995;RCP4.5;H1;16;1.1;1.43;0.05;
2637;42.8513;1.8971;RCP4.5;H1;13;1;0.9;0.06;
2638;42.8516;1.9948;RCP4.5;H1;10;1.01;0.33;0.07;
2639;42.8519;2.0924;RCP4.5;H1;11;0.99;1;0.07;
2640;42.8521;2.1901;RCP4.5;H1;8;0.99;0.67;0.08;
2641;42.8522;2.2877;RCP4.5;H1;10;0.99;0.77;0.08;
2642;42.8522;2.3854;RCP4.5;H1;12;0.97;1.13;0.11;
2643;42.8521;2.4831;RCP4.5;H1;12;1.01;1.16;0.1;
2644;42.8519;2.5807;RCP4.5;H1;11;1.03;0.8;0.09;
2645;42.8516;2.6784;RCP4.5;H1;11;1.05;0.23;0.1;
2646;42.8513;2.776;RCP4.5;H1;11;0.99;1.13;0.16;
2647;42.8508;2.8737;RCP4.5;H1;11;1;0.7;0.2;
2648;42.8503;2.9714;RCP4.5;H1;10;1;0.74;0.21;
2649;42.8497;3.069;RCP4.5;H1;10;0;0;0.21;
