#-----------------------------------------------------------------------------
# Date d'extraction : 26/12/2025 - 16h22 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP8.5 : Emissions non réduites
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     ATXHWD : Ecart de nombre de jours d'une vague de chaleur (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;ATXHWD;
#-----------------------------------------------------------------------------
Point;Latitude;Longitude;Contexte;Période;ATXHWD;
2206;42.6347;1.7042;RCP8.5;H1;19;
2207;42.6353;1.8014;RCP8.5;H1;21;
2208;42.6357;1.8987;RCP8.5;H1;19;
2209;42.6361;1.996;RCP8.5;H1;18;
2210;42.6363;2.0933;RCP8.5;H1;18;
2211;42.6365;2.1906;RCP8.5;H1;16;
2212;42.6366;2.2879;RCP8.5;H1;11;
2213;42.6366;2.3852;RCP8.5;H1;11;
2214;42.6365;2.4825;RCP8.5;H1;8;
2215;42.6363;2.5798;RCP8.5;H1;7;
2216;42.6361;2.6771;RCP8.5;H1;9;
2217;42.6357;2.7744;RCP8.5;H1;6;
2218;42.6353;2.8717;RCP8.5;H1;6;
2219;42.6347;2.969;RCP8.5;H1;6;
2220;42.6341;3.0663;RCP8.5;H1;0;
2278;42.4462;8.6957;RCP8.5;H1;4;
2279;42.4404;8.7924;RCP8.5;H1;10;
2280;42.4344;8.889;RCP8.5;H1;11;
2281;42.4284;8.9856;RCP8.5;H1;15;
2282;42.4223;9.0822;RCP8.5;H1;9;
2283;42.4161;9.1788;RCP8.5;H1;10;
2284;42.4098;9.2753;RCP8.5;H1;10;
2285;42.4034;9.3719;RCP8.5;H1;13;
2286;42.397;9.4684;RCP8.5;H1;11;
2331;42.6817;-0.0495;RCP8.5;H1;0;
2332;42.6839;0.0479;RCP8.5;H1;0;
2333;42.6859;0.1452;RCP8.5;H1;0;
2334;42.6879;0.2426;RCP8.5;H1;0;
2335;42.6897;0.3399;RCP8.5;H1;0;
2336;42.6915;0.4373;RCP8.5;H1;19;
2337;42.6932;0.5346;RCP8.5;H1;16;
2338;42.6948;0.632;RCP8.5;H1;20;
2343;42.7015;1.1189;RCP8.5;H1;0;
2344;42.7026;1.2163;RCP8.5;H1;0;
2345;42.7036;1.3137;RCP8.5;H1;0;
2346;42.7044;1.4111;RCP8.5;H1;31;
2347;42.7052;1.5086;RCP8.5;H1;18;
2348;42.706;1.606;RCP8.5;H1;17;
2349;42.7066;1.7034;RCP8.5;H1;18;
2350;42.7071;1.8008;RCP8.5;H1;15;
2351;42.7076;1.8982;RCP8.5;H1;17;
2352;42.7079;1.9956;RCP8.5;H1;16;
2353;42.7082;2.093;RCP8.5;H1;11;
2354;42.7084;2.1905;RCP8.5;H1;12;
2355;42.7085;2.2879;RCP8.5;H1;13;
2356;42.7085;2.3853;RCP8.5;H1;9;
